"IDRSSD"	RCFD0010	RCFD0022	RCFD0070	RCFD0082	RCFD0090	RCON0010	RCON0020	RCON0070	RCON0080	RCON0082	RCON0090	
	CASH AND DUE FROM DEPOSITORIES	CASH & CASH ITEMS IN PROCESS OF COLL	BALANCES WITH BKS IN FGN COUNTRIES	BALANCES DUE FROM DEPOSITORY INSTITU	BALANCES WITH F. R. BKS (COML BK BOO	CASH AND DUE FROM DEPOSITORIES	CASH ITEMS IN PROCESS OF COLLECTION	BALANCES WITH BKS IN FGN COUNTRIES	CURR&COIN (U.S. & FGN) VAULT CASH	BALANCES DUE FROM DEPOSITORY INSTITU	BALANCES WITH F. R. BKS (COML BK BOO	
411576												
411624												
411651												
412153												
412452												
412555												
412667												
412751						405865	67026	0	132207	38038	168594	
412845												
412872												
413141						123619	6084	0	384	21330	95821	
413208	14663506	502519	548527	23583	13588877	14663369	272657	548390	229862	23583	13588877	
413347												
413543												
413646												
413673												
413758												
414102												
414652												
414764												
414858												
416245						341431	78401	0	40365	55094	167571	
416272												
416339												
416357												
416656												
416674												
417626												
417710												
418100												
418249												
418436												
418856												
419406						81236	14323	0	31951	6043	28919	
419460												
419675												
419947												
420578												
420644												
420653												
420877												
421445												
421539												
422059												
422116												
422433						109174	0	0	13281	1269	94624	
422657												
423159												
423449												
423636												
423739												
424156												
424240												
424352												
424437												
424633												
425050												
425108												
425818												
425845												
425911												
426057												
426141												
426534						78215	22	0	17637	4607	55949	
426758												
426945												
427241												
427353												
427858												
427960												
428060												
428462												
428547						139426	8539	0	3890	18410	108587	
428855												
429021												
429487												
430036						42771	237	0	4428	18881	19225	
430054												
430344												
431172						740944	88255	672	31623	16696	603698	
431323												
431350												
432058												
432432												
433505						54914	8300	0	2671	20443	23500	
433550												
433608						103447	62603	0	16871	1555	22418	
433859												
433943												
434203						132487	426	329	1415	7923	122394	
434539												
435059												
435077						388065	4147	502	0	29054	354362	
435255												
435666												
435750						19232	8162	0	10681	274	115	
436159						501152	2434	0	21749	319488	157481	
436542												
436739												
436953												
437044												
437914						1023118	107671	4709	604244	107066	199428	
439132						81389	0	0	3620	11222	66547	
439338						474950	0	0	12488	291577	170885	
439356												
439404						93193	18105	0	9216	612	65260	
439730												
440857												
440978												
441050												
441078												
441135												
441256						35179	24334	0	6787	1483	2575	
441359												
441470												
441630												
442011												
442057												
442244												
442655												
443148												
443205												
443353												
443625												
443634												
444350												
444556												
444677												
445674												
445955												
446130												
446149												
446176												
446877												
447070												
447100						27299	8317	0	3031	10635	5316	
447557												
448040												
448554												
449038												
449430												
449832						17391	322	0	1749	7570	7750	
449935												
450632												
450669												
450753						4423	1975	0	1957	354	137	
450856						56067	29695	0	17865	2450	6057	
450959												
451068												
451246												
451273						16833	11	0	677	16145	0	
451965	163203000	22786000	14451000	1273000	124693000	151381000	12255000	2630000	10531000	1273000	124692000	
452159												
452739												
452841												
453147												
453446												
453839												
454546												
454658												
454676												
454975												
455150												
455253						20135	0	0	1480	4655	14000	
455459												
455552												
455945												
455972						568537	20246	0	4696	4124	539471	
456045						1577214	0	0	93255	345316	1138643	
456054												
456250												
456344												
456755						7000	13	0	2372	26	4589	
457060												
457220												
457426												
457752												
458142												
458544												
458665												
458946												
459130												
459354												
459372												
459644												
459671						390061	0	0	2651	26993	360417	
460033						130731	559	0	28126	19832	82214	
460275												
460332												
460350												
460556												
460770												
461058												
463203												
463342						19650	9842	0	7334	229	2245	
463605												
463650												
463735						776001	321253	273	238807	33762	181906	
464255												
464853												
465038												
465243												
465524												
465618												
465672												
466044												
466240												
466754												
466932												
467144												
467470												
467658												
467733												
468673												
468806												
469250												
469559												
469737												
470032												
470050						365781	147037	0	75615	23301	119828	
470434												
