"IDRSSD"	RCON0211	RCON1287	RCON1709	RCON1713	RCON1733	RCON1736	RCON1752	RCON1754	RCON1773	RCON2163	RCON2192	RCON2941	RCON3129	RCON3190	RCON3545	RCON3548	RCON8492	RCON8495	RCON8496	RCON8499	RCONB989	RCONB995	RCONG389	RCONG390	RCONG393	RCONG394	RCONG397	RCONG398	RCONG399	RCONG400	RCONHT71	RCONJA22	RCONJF75	
	US TREAS SECS-HLD-TO-MAT-AMRTZ COST	US TREAS SECS-AVL-FOR-SLE-FAIR VALUE	OTHR PASS-THRU SECS-HLD-AMORTZD COST	OTHR PASS-THRU SECS-AVL-FAIR VALUE	MBS-CMOS&REMICS-ALL OTHER-HLD-AMRTZ	MBS-CMOS&REMICS-ALL OTHER-AVL-FAIR	HISTCL COST OF ALL OTH AVL-FOR-SALE	HELD-TO-MATURITY SECURITIES	AVAILABLE-FOR-SALE SECURITIES	NET DUE FROM FOREIGN OFFICES	TOTAL ASSETS	NET DUE TO FOREIGN OFFICES	TOTAL LIABILITIES, EXCL NET DUE TO	OTHER BORROWED MONEY	TOTAL TRADING ASSETS	TRADING LIABILITES	US GOVT AGCY&CORP OBLIGS-AMRTZ COST	US GOVT AGCY&CORP OBLIGS-FAIR VALUE	SECS ISSD BY US ST&POL SUBDYS-AMRTZ	SECS ISSD BY US ST&POL SUBDYS-FAIR	SECURS PURCHSD UDR AGRMNTS TO RESELL	SECURS SOLD UNDR AGRMNTS TO REPURCH	MBS PT SCTY ISS FFG AMRTZ HTM SCTY	MBS PT SCTY ISS FFGNMA FV AFS SCTY	OTHR MBS ISS FFG AMRTZ HTM SCTY	OTHR MBS ISS FFG FV AFS SCTY	OTHR DMSTC DEBT SCTY AMRTZ HTM SCTY	OTHR DMSTC DEBT SCTY FV AFS SCTY	FOREIGN DEBT SCTY AMRTZ HTM SCTY	FOREIGN DEBT SCTY FV AFS SCTY	Total loans held for trading	Equity securities with readily deter	Total amount of fair value option lo	
42037	0	0					0	0	31780					0	0	0			0	12362	0	0										0		
42354	0	8732					110	0	49345					0	0	0			0	16005	0	0										0		
42372	0	11614					226	0	94443					0	0	0			0	6471	0	0										0		
42420	0	0					15456	474790	786764					10593	0	0			27331	7521	0	97932										0		
42448	0	0					8453	0	149360					95707	0	0			0	123184	0	0										0		
42457	0	0					609	9001	13882					0	0	0			9001	0	0	0										0		
43052	0	1923					2125	0	32603					1000	0	0			0	9146	0	0										0		
43351	0	0					674	0	3938					14311	0	0			0	2096	0	0										0		
43856	0	902					1005	2571	12771					12	0	0			2571	2309	0	0										0		
43959	0	2981					235	0	97227					0	0	0			0	43953	0	0										0		
44040	0	0					1393	0	166074					15000	0	0			0	54775	0	0										0		
44433	0	0					2639	0	108627					35000	0	0			0	8790	0	0										0		
44741	0	46646					1459	0	182671					0	0	0			0	81804	0	0										1754		
44750	0	0					1031	0	29344					0	0	0			0	790	0	0										0		
44929	0	45561					979	0	53437					0	0	0			0	4393	0	0										0		
45038	0	1632					214	621	74418					0	0	0			621	22589	0	932										117		
45047	0	20935					583	0	48068					0	0	0			0	10415	0	0										0		
45056	0	4638					216	12144	23931					0	0	0			12144	327	0	0										0		
45430	0	0					470	18012	35748					0	0	0			18012	0	0	0										0		
45458	0	2279					1897	0	74198					8946	0	0			0	26581	0	0										0		
45551	0	36351					6382	0	226877					69100	0	0			0	81773	0	0										0		
45560	0	76241					8742	48878	915113					0	0	0			4669	64829	0	0										3429		
45775	0	0					407	0	28429					17994	0	0			0	931	0	0										0		
46053	0	4474					2340	0	102093					0	0	0			0	42825	0	0										69		
46941	0	3835					409	2367	53493					637	0	0			1867	11591	0	0										0		
47247	0	0					7672	1417	35696					68900	490	345			917	16202	0	0										0		
47256	0	0					160	0	0					0	0	0			0	0	0	0										0		
47452	0	15492					36	0	15711					2273	0	0			0	0	0	0										0		
47500	0	0					2360	0	57735					42700	0	0			0	10208	0	0										15880		
