"IDRSSD"	RCFD2143	RCFD2150	RCFD2651	RCFD3163	RCFD3164	RCFD3190	RCFD4088	RCFD6164	RCFD6165	RCFDA590	RCFDB569	RCFDB570	RCFDB571	RCFDF055	RCFDF056	RCFDF057	RCFDF058	RCFDF059	RCFDF060	RCFDF061	RCFDF062	RCFDF063	RCFDF065	RCFDJ461	RCFDJ462	RCFDJA29	RCFDJF76	RCFDK183	RCFDK192	RCFDK193	RCFDK194	RCFN5513	RCFNK260	RCON2143	RCON2150	RCON2651	RCON3163	RCON3164	RCON3190	RCON4088	RCON5508	RCON5509	RCON5510	RCON5511	RCON5512	RCON6164	RCON6165	RCONA590	RCONB569	RCONB570	RCONB571	RCONF055	RCONF056	RCONF057	RCONF058	RCONF059	RCONF060	RCONF061	RCONF062	RCONF063	RCONF064	RCONF065	RCONG463	RCONG464	RCONJ461	RCONJ462	RCONJA29	RCONJF76	RCONK169	RCONK170	RCONK171	RCONK172	RCONK173	RCONK174	RCONK175	RCONK176	RCONK177	RCONK183	RCONK187	RCONK188	RCONK189	RCONK190	RCONK191	RCONK192	RCONK193	RCONK194	RCONL133	RCONL135	RCONLG26	RCONLG27	RCONLG28	RCONLL57	RCONLL58	RCONLL59	RCONLL60	RCONLL61	RCONMM07	RCONMQ52	RCONN523	RCONN524	TE01N528	TE01N529	TE02N528	TE02N529	TE03N528	TE03N529	TE04N528	TE04N529	TE05N528	TE05N529	TE06N528	TE06N529	TE07N528	TE08N528	TE09N528	TE10N528	TEXT4087	
507068																																		698	265	0	0	698	8256		0	0	265	0	0	17147	3	698	false	0	771	0	0	0	0	0	771	2524	2390	2571	0	8256	true	true	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					13	1449	0	0	0	0	0	0																					http://www.exchangebank.com	
507152																																		0	0	0	0	0	39		0	0	0	0	0	150	0	0			0	0	0	0	0	0	0	0	39	0	0	0					164	0																					0	0	0	0	0	0	0	0																						
507349																																		0	0	3500	0	0	3500		0	0	0	0	0	90	0	0			0	3500	0	0	0	0	0	0	0	0	0	0					2	0																					1	4	0	0	0	0	0	0																						
507509																																		7257	60	84000	0	7257	93226		0	0	60	0	0	0	0	11618	true	0	0	84000	8390	836	0	0	0	0	0	0	0	0	false	false	0	0	6441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					2	11	0	0	0	0	0	0					www.NSBonline.com		www.NSBnetSavings.com		www.FreeNSB.com		www.NSBmobile.com		www.Newtownsavingsbank.com		www.NewtownSavings.com						www.nsbonline.com	
508270																																		0	0	0	0	0	0		0	0	0	0	0	1232	0	0			0	0	0	0	0	0	0	0	0	0	0	0						0																					0	0	0	0	0	0	0	0																						
508346																																		2906	7475	16000	0	2906	73000		5750	0	86	0	1639	11692	2	2906	true	0	0	16000	26000	20500	10500	0	0	0	0	0	0	0	true	false	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					6	598	0	0	0	0	0	0																					www.hawthornbank.com	
508355																																		1446	41	0	1360	0	3038		41	0	0	0	0	2507	2	0			0	0	1200	135	1703	0	0	0	0	0	0	0					0	86																					2	10	0	0	0	0	0	0																						
509811																																		69093	1864	22	60517	8576	1764		438	0	583	0	843	39835	4	8576	false	0	5	22	41	41	256	0	5	48	60	1291	0	1404	true	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					28	1958	0	0	0	0	0	0																					www.ctbi.com	
509857																																		0	0	0	0	0	0		0	0	0	0	0	799	2	0			0	0	0	0	0	0	0	0	0	0	0	0					550	0																					1	16	0	0	0	0	0	0																						
509950																																		235555	3396	1150048	16989	172532	1371840		3218	0	72	0	106	50004	5	172532	true	0	0	1150049	31237	69447	56347	0	0	0	17097	47663	0	64760	false	false	0	0	8	46034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					286	19724	17097	28919	0	0	17097	0																					www.firstunitedbank.com	
510330																																		0	0	0	0	0	4000		0	0	0	0	0	1091	1	0			0	0	4000	0	0	0	0	0	0	0	0	0						0																					0	0	0	0	0	0	0	0																					http://www.fmbanknow.com	
510648																																		808	55	0	0	808	0		0	0	55	0	0	215	0	808			0	0	0	0	0	0	0	0	0	0	0	0					16	0																					0	0	0	0	0	0	0	0																						
510871	91495	38682	0	38611	29690	8087		1296	0	44621	false	0	8087	0	0	0	0	0	8087	0	0	0	8087	0	0		23194	0	0			0	0						8087		2613	0	30035	129	5905																0		true	true					0	0	0	0	0	0	0	0	0		0	0	0	0	0						720	17902	0	0	0	0	0	0																					http://www.1firstbank.com	
510938																																		7440	100	0	6397	373	0		0	0	0	0	100	10208	3	373			0	0	0	0	0	0	0	0	0	0	0	0					0	670																					1	3	0	0	0	0	0	0																						
510947																																		57	175	4000	57	0	4000	true	0	0	0	0	175	3192	2	0			0	4000	0	0	0	0	0	0	0	0	0	0	true	true				0																					0	0	0	0	0	0	0	0																					http://www.fsb-tc.com	
511832																																		0	287	1076	0	0	2955		182	0	8	0	97	1061	0	0			0	1076	58	0	1821	0	0	0	0	0	0	0					0	0																					4	538	0	0	0	0	0	0																						
513256																																		1103	0	0	1091	12	0		0	0	0	0	0	11866	3	12	false	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0	0	0	0	0	0	0																					http://www.fnblasanimas.com	
513322																																		0	0	0	0	0	0		0	0	0	0	0	1555	1	0			0	0	0	0	0	0	0	0	0	0	0	0					0	0																					1	36	0	0	0	0	0	0																						
513340																																		3499	0	0	3100	76	19000		0	0	0	0	0	1930	1	89			0	0	18000	1000	0	0	0	0	0	0	0	0					0	323																					12	961	0	0	0	0	0	0																						
513546																																		0	73	0	0	0	0		0	0	73	0	0	0	0	0			0	0	0	0	0	0	0	0	0	0	0	0					213	0																					0	0	0	0	0	0	0	0																					www.bankwithfmb.com	
513854																																		0	0	0	0	0	0		0	0	0	0	0	288	0	0			0	0	0	0	0	0	0	0	0	0	0	0					0	0																					0	0	0	0	0	0	0	0																						
513920																																		0	0	0	0	0	0		0	0	0	0	0	232	0	0			0	0	0	0	0	0	0	0	0	0	0	0					0	0																					0	0	0	0	0	0	0	0																						
514048																																		0	101	0	0	0	35360		25	0	0	0	76	10468	5	0			0	0	11403	109	23848	0	0	0	0	0	0	0					0	0																					0	0	0	0	0	0	0	0																						
514057																																		0	0	0	0	0	0		0	0	0	0	0	0	0	0			0	0	0	0	0	0	0	0	0	0	0	0						0																					0	0	0	0	0	0	0	0																						
514066																																		7319	0	0	7319	0	0		0	0	0	0	0	6361	3	0			0	0	0	0	0	0	0	0	0	0	0	0					0	0																					12	1079	0	0	0	0	0	0																						
514132																																		0	308	0	0	0	2242		0	0	0	0	308	7561	3	0			0	0	0	0	0	0	0	0	258	1984	0	0						0																					0	0	0	0	0	0	0	0																						
514356																																		0	30	0	0	0	0		0	0	30	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					20	865	0	0	0	0	0	0																					www.fsbwford.com	
514655																																		1136	0	0	893	0	0		0	0	0	0	0	7115	2	0			0	0	0	0	0	0	0	0	0	0	0	0					0	243																					1	1058	0	0	0	0	0	0																						
514936																																		0	828	0	0	0	0		828	0	0	0	0	2306	2	0			0	0	0	0	0	0	0	0	0	0	0	0						0																					1	11	0	0	0	0	0	0																					https://www.rabuncountybank.com	
