"IDRSSD"	RCFDJJ03	RCONJJ03	RIAD3123	RIAD4230	RIAD4605	RIAD5523	RIADB522	RIADC079	RIADC233	RIADC389	RIADC390	RIADC435	RIADC781	RIADJH88	RIADJH89	RIADJH90	RIADJH91	RIADJH92	RIADJH93	RIADJH94	RIADJH95	RIADJH96	RIADJH97	RIADJH98	RIADJH99	RIADJJ00	RIADJJ01	RIADJJ02	RIADMG93	RIADMG94	
	Allowance for credit losses on other	Allowance for credit losses on other	ALLL_AMT	PROVISION FOR CREDIT LOSSES	RECOVERIES CREDITED TO RESERVES	WRITE DOWN ARISING FRM TRNSFR TO HFS	BEGIN BALANCE (MOST RECENT) IN ALLL	CHRG-OFFS ON ALLWNCE FOR L&L LOSSES	ADJUSTMENTS	SEPARATE VAL ALLOW CRED/FIN CHGS	AMT ALLOW LN&LSE LOSS CC/FIN CHGS	ALLOCATED TRANSFER RISK RESERVE	AMT OF ALLOWNCE FOR POST-ACQUISTN LO	Balance most recently reported for e	Recoveries, Held-to-maturity debt se	Provisions for credit losses, Held-t	Adjustments, Held-to-maturity debt s	Less: charge-offs, Held-to-maturity 	Balance end of current period, Held-	Balance most recently reported for e	Recoveries, Available-for-sale debt 	Provisions for credit losses, Availa	Adjustments, Available-for-sale debt	Less: charge-offs, Available-for-sal	Balance at end of current period, Av	Less: Write-downs arising from trans	Less: Write-downs arising from trans	Provisions for credit losses on othe	Provisions for credit losses on off-	Estimated amount of expected recover	
985451		0	956	0	5	0	958	7	0			0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
985479		0	7261	526	5	0	6658	5	77					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
986159		0	765	42	2	0	729	8	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
986551		0	1093	0	8	0	1085	0	0			0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
986757		0	375	0	0	0	407	32	0			0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
986935		0	2962	97	106	0	2859	35	-65					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
987231		0	3159	540	43	0	2578	2	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
987259		0	2569	25	31	0	2514	1	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
987576		0	96	0	0	0	96	0	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
987651		0	588	0	16	0	792	0	-220					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
987848		0	1177	0	7	0	1205	35	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
988144		0	692	0	39	0	653	0	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
988153		0	9263	0	427	0	9166	25	-305			0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
988256		0	251	0	0	0	251	0	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
988452		0	1485	110	0	0	1515	0	-140					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
989141		0	832	842	2	0	1335	12	-1335					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
989347		0	6044	1025	13	0	6183	83	-1094					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-586		
989534		0	1471	60	25	0	1539	3	-150					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
989730		0	2391	582	11	0	2415	617	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
989758		0	1474	400	0	0	1074	0	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
989851		0	566	0	1	0	566	1	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
990053		0	1724	70	16	0	1655	17	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
990352		0	7188	450	68	0	6318	48	400					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
990642		0	2829	315	104	0	2371	161	200					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
991078		0	335	50	40	0	316	71	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
991135		0	1132	90	30	0	1012	0	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
991340		0	144074	3955	5182	0	139268	4331	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2403	0	
991359		0	3499	529	123	0	2946	47	-52					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
991555		0	1629	4	36	0	1606	17	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
