IDRSSD,RCFD3353,RCFD3355,RCFD3365,RCFD3368,RCFD3381,RCFD3401,RCFD3484,RCFDB558,RCFDB559,RCFDB560,RCFN3360,RCFN3404,RCON3353,RCON3355,RCON3360,RCON3365,RCON3368,RCON3381,RCON3386,RCON3387,RCON3401,RCON3465,RCON3466,RCON3484,RCON3485,RCONB558,RCONB559,RCONB560,RCONB561,RCONB562,RCONB563,RCONHK16,RCONHK17
225942.0,,,,,,,,,,,,,0.0,,18885.0,3394.0,44888.0,7823.0,1433.0,1741.0,,8726.0,5641.0,0.0,15723.0,8551.0,1.0,5086.0,152.0,332.0,16317.0,6289.0,1331.0
226949.0,,,,,,,,,,,,,0.0,,9137.0,0.0,15308.0,3018.0,,1836.0,,2272.0,5464.0,0.0,7912.0,157.0,0.0,806.0,0.0,92.0,3214.0,3814.0,254.0
227151.0,,,,,,,,,,,,,40932.0,943.0,304366.0,48.0,584852.0,70155.0,10300.0,35562.0,,87951.0,141388.0,2435.0,148852.0,13484.0,96373.0,50537.0,0.0,22468.0,116912.0,59812.0,31470.0
227357.0,,,,,,,,,,,,,0.0,502.0,191097.0,0.0,458077.0,9231.0,612.0,16713.0,,31886.0,123488.0,0.0,9594.0,89277.0,32343.0,117208.0,0.0,4626.0,313258.0,55464.0,13948.0
227656.0,,,,,,,,,,,,,0.0,,26753.0,0.0,59495.0,18575.0,,3768.0,,20337.0,6359.0,0.0,8719.0,3849.0,1064.0,0.0,0.0,364.0,10167.0,22586.0,1860.0
227777.0,,,,,,,,,,,,,0.0,8000.0,378160.0,0.0,453873.0,38860.0,0.0,553.0,,345691.0,25422.0,0.0,75009.0,0.0,8796.0,810.0,0.0,6494.0,215382.0,92090.0,11573.0
228000.0,,,,,,,,,,,,,932.0,0.0,422621.0,305.0,555188.0,69616.0,0.0,44114.0,,212493.0,147805.0,0.0,48247.0,1000.0,31604.0,0.0,0.0,12262.0,170538.0,50007.0,13420.0
228055.0,,,,,,,,,,,,,0.0,,36892.0,8815.0,71882.0,3206.0,8873.0,4852.0,,602.0,19307.0,0.0,12814.0,1531.0,9179.0,9249.0,0.0,3242.0,24494.0,10748.0,1130.0
228158.0,,,,,,,,,,,,,3019.0,2095.0,511769.0,0.0,639779.0,32526.0,12393.0,121800.0,,138459.0,214094.0,427.0,122978.0,980.0,23866.0,3726.0,375.0,24596.0,173794.0,135940.0,34130.0
228279.0,,,,,,,,,,,,,0.0,0.0,292117.0,4468.0,522016.0,61109.0,6228.0,28215.0,,152397.0,75157.0,20780.0,243129.0,266.0,34402.0,80278.0,0.0,14434.0,93604.0,57627.0,12168.0
