IDRSSD,RCFD0071,RCFD0081,RCFD1773,RCFD2130,RCFD2143,RCFD2145,RCFD2150,RCFD2160,RCFD2170,RCFD2930,RCFD2948,RCFD3000,RCFD3123,RCFD3190,RCFD3200,RCFD3210,RCFD3230,RCFD3300,RCFD3545,RCFD3548,RCFD3632,RCFD3656,RCFD3838,RCFD3839,RCFD5369,RCFD6724,RCFDA130,RCFDB528,RCFDB529,RCFDB530,RCFDB989,RCFDB995,RCFDG105,RCFDJA22,RCFDJJ34,RCFN2200,RCFN6631,RCFN6636,RCON0071,RCON0081,RCON1773,RCON2130,RCON2143,RCON2145,RCON2150,RCON2160,RCON2170,RCON2200,RCON2930,RCON2948,RCON3000,RCON3123,RCON3190,RCON3200,RCON3210,RCON3230,RCON3300,RCON3545,RCON3548,RCON3632,RCON3656,RCON3838,RCON3839,RCON5369,RCON6631,RCON6636,RCON6724,RCON8678,RCONA130,RCONB528,RCONB529,RCONB530,RCONB987,RCONB989,RCONB993,RCONB995,RCONG105,RCONJA22,RCONJJ34
1293078.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2057.0,3596.0,27031.0,0.0,0.0,3210.0,0.0,4882.0,168884.0,133765.0,645.0,156772.0,0.0,1199.0,22362.0,0.0,12112.0,583.0,168884.0,0.0,0.0,5658.0,0.0,0.0,10368.0,0.0,48143.0,85622.0,1a,1231.0,0.0,128449.0,127250.0,-4497.0,858.0,0.0,0.0,0.0,12112.0,0.0,0.0
1356768.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172433.0,43260.0,825520.0,0.0,5656.0,67804.0,0.0,146327.0,4441891.0,4016708.0,51294.0,4071201.0,0.0,55002.0,3199.0,0.0,370690.0,1576.0,4441891.0,0.0,0.0,264504.0,0.0,0.0,180569.0,362.0,1317871.0,2698837.0,2a,1231.0,0.0,3230156.0,3175154.0,-75959.0,0.0,0.0,0.0,0.0,370690.0,5375.0,0.0
1369870.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,650.0,5317.0,3640.0,0.0,3014.0,121.0,0.0,1239.0,13981.0,0.0,1276.0,1276.0,0.0,0.0,0.0,0.0,12705.0,6.0,13981.0,0.0,0.0,0.0,0.0,0.0,12764.0,0.0,0.0,0.0,1a,1231.0,0.0,0.0,0.0,-65.0,0.0,0.0,0.0,0.0,12705.0,0.0,0.0
1386251.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2409529.0,192657.0,1344671.0,34760.0,82198.0,247684.0,38587.0,259017.0,10424300.0,9039593.0,106580.0,9347573.0,0.0,82440.0,200000.0,0.0,1076727.0,20863.0,10424300.0,0.0,0.0,1006226.0,0.0,20000.0,78508.0,6223.0,3848115.0,5191478.0,1a,1231.0,0.0,5889094.0,5806654.0,-48870.0,0.0,0.0,1400.0,0.0,1076727.0,0.0,2320.0
1387203.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12597.0,4133.0,113744.0,0.0,9115.0,11124.0,0.0,2051.0,292244.0,270930.0,943.0,271873.0,0.0,1351.0,0.0,0.0,20371.0,280.0,292244.0,0.0,0.0,14394.0,0.0,0.0,21739.0,0.0,56338.0,214592.0,4.0,1231.0,0.0,118831.0,117480.0,-16042.0,22000.0,0.0,0.0,0.0,20371.0,0.0,0.0
1387605.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22199.0,40013.0,443305.0,78.0,14971.0,44441.0,463.0,75004.0,2460801.0,2003640.0,23462.0,2280502.0,0.0,23386.0,182500.0,0.0,180299.0,3500.0,2460801.0,0.0,0.0,157026.0,0.0,0.0,47189.0,3885.0,450585.0,1553055.0,2a,1231.0,0.0,1839828.0,1816442.0,-27416.0,0.0,0.0,0.0,70900.0,180299.0,0.0,0.0
1391778.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1206049.0,85466.0,98133.0,0.0,7927.0,1.0,0.0,581185.0,8551192.0,4363683.0,328089.0,7277285.0,0.0,952726.0,2585513.0,0.0,1273907.0,17500.0,8551192.0,0.0,0.0,1053665.0,0.0,0.0,209837.0,0.0,47125.0,4316558.0,1a,1231.0,0.0,7519512.0,6566786.0,-7095.0,0.0,0.0,0.0,0.0,1273907.0,5645.0,0.0
1394621.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66926.0,23872.0,60071.0,0.0,0.0,12426.0,896.0,10488.0,1013056.0,874279.0,4237.0,878516.0,0.0,7621.0,0.0,0.0,134540.0,85.0,1013056.0,0.0,0.0,140278.0,0.0,0.0,1034.0,0.0,283448.0,590832.0,1b,1231.0,0.0,468737.0,461116.0,-6857.0,46725.0,0.0,0.0,0.0,134540.0,0.0,330536.0
1394676.0,35102353.0,44189.0,2052924.0,94344.0,28300.0,0.0,0.0,1827198.0,165450140.0,8007872.0,150868386.0,0.0,3852875.0,11903675.0,800000.0,14581754.0,50.0,165450140.0,0.0,0.0,10200251.0,1180707.0,0.0,4410833.0,0.0,1a,0.0,128877893.0,125025018.0,-29380.0,0.0,0.0,14581754.0,95107.0,0.0,,,,,,,,,,,,,130156839.0,,,,,,,,,,,,,,,,,323923.0,129832916.0,,1231.0,,,,,0.0,,0.0,,,,
1396764.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58398.0,1664.0,263784.0,0.0,15.0,2826.0,0.0,9962.0,618737.0,491183.0,6532.0,497715.0,0.0,8653.0,0.0,0.0,121022.0,3617.0,618737.0,0.0,0.0,30067.0,0.0,0.0,94039.0,0.0,127609.0,363575.0,1a,1231.0,0.0,281492.0,272839.0,-6701.0,0.0,0.0,0.0,0.0,121022.0,9248.0,1.0
