"IDRSSD"	RCFD1410	RCFD1420	RCFD1460	RCFD1563	RCFD1590	RCFD1763	RCFD1764	RCFD1797	RCFD2081	RCFD2107	RCFD2122	RCFD2123	RCFD2746	RCFD5367	RCFD5368	RCFDA247	RCFDA570	RCFDA571	RCFDA572	RCFDA573	RCFDA574	RCFDA575	RCFDB532	RCFDB533	RCFDB534	RCFDB536	RCFDB537	RCFDB538	RCFDB539	RCFDB837	RCFDC391	RCFDF158	RCFDF159	RCFDF160	RCFDF161	RCFDF162	RCFDF163	RCFDG091	RCFDG092	RCFDG093	RCFDG094	RCFDG095	RCFDG096	RCFDG097	RCFDG098	RCFDG099	RCFDG100	RCFDG101	RCFDG102	RCFDG378	RCFDHK25	RCFDK098	RCFDK137	RCFDK163	RCFDK164	RCFDK165	RCFDK168	RCFDK203	RCFDK204	RCFDK207	RCON1288	RCON1420	RCON1460	RCON1545	RCON1590	RCON1763	RCON1764	RCON1766	RCON1797	RCON2081	RCON2107	RCON2122	RCON2123	RCON2165	RCON2746	RCON5367	RCON5368	RCON5370	RCONA247	RCONA564	RCONA565	RCONA566	RCONA567	RCONA568	RCONA569	RCONA570	RCONA571	RCONA572	RCONA573	RCONA574	RCONA575	RCONB531	RCONB534	RCONB535	RCONB538	RCONB539	RCONB837	RCONC391	RCONF158	RCONF159	RCONF160	RCONF161	RCONF162	RCONF163	RCONF230	RCONF231	RCONF232	RCONF576	RCONF577	RCONG091	RCONG092	RCONG093	RCONG094	RCONG095	RCONG096	RCONG097	RCONG098	RCONG099	RCONG100	RCONG101	RCONG102	RCONG376	RCONG378	RCONGW45	RCONGW46	RCONGW47	RCONHK25	RCONJ451	RCONJ454	RCONJ464	RCONK098	RCONK137	RCONK158	RCONK159	RCONK160	RCONK161	RCONK162	RCONK163	RCONK164	RCONK165	RCONK166	RCONK168	RCONK203	RCONK204	RCONK207	RCONK256	RCONLE75	RCONLG24	RCONLG25	RCONPR04	RCONPR05	RCONPR06	RIADG377	
670748																																																													3412	4798	6547		1522			16777	1211		0	58222	0	0	0	5682	0		9958	96	301	1000	2811	189	1235	8645	2524	12802	18070	9891	0				0	0			0	792	9613	2461							0														39603				605		0	0		536													4871			CONF	CONF					
670878																																																													0	0	8077		0			20617	7630		0	453279	0	0	9021	295526	5375		7794	532	74	1842	6680	48617	236900	12229	2857	7632	65175	64855	4840				0	8			4544	9552	34050	26092							0														264310				55		0	0		41618													190			CONF	CONF					
671053																																																													0	6708	0		7080			2567	1030		0	67769	0	175	0	43597	0		15814	3506	5440	12206	8568	1641	12236	2123	7644	4809	3587	3384	2625				0	0			74	1228	0	2674							0													0	0				0		0	44		1383													1209			CONF	CONF				0	
671147																																																													0	137690	13821		96600			81942	3143		2507	640956	0	0	0	129043	4625		143119	5317	8276	9080	29708	45293	30544	124240	42181	55733	139473	67083	79860				912	0			22525	25959	86087	23702							338														281198				0		0	4666		4692													3042			CONF	CONF					
671334																																																													0	25	199621	0	0	694125	0	694125	20755		2688	1858610	0	169	0	107023	1353	41854	462280	19014	23350	28047	16490	1285	16984	630372	70580	433798	302267	312057	0	0	0	0	6	18	0		82464	207509	106309	428829	0	169				693	654													0	1496051				3394	6835	0	6835	0	32	0	0	0	385	2316	0	0	0	0	0	0	0	849	0	102	CONF	CONF				0	
671464																																																													0	1436	1210447	0	0	3268543	44687	3313230	21718		18482	13721941	0	10511	77816	1001866	791	46415	1939852	13346	68214	145228	200166	369860	198585	6138410	875486	2864301	2634336	138181	3216	0	0	0	3415	18264	0		0	231956	2983955	4396169	0	10511				0	1917														13721941				26672	1354	503964	1354	0	0	0	0	0	0	0	26672	0	0	0	0	0	0	4383	26672	0	CONF	CONF					
671558																																																													0	141376	31881		61630			141493	30426		0	915012	0	0	0	145685	4960		201426	24467	53915	57762	6982	494	1614	195974	153963	251163	139779	20328	7329				0	0			20921	34202	198015	74229							123														484590				0		0	427		17143													12624			CONF	CONF					
672238																																																													0	2497	1250		2289			6269	0		773	26142	0	0	0	5792	21		4474	173	628	2170	1901	675	245	1621	2502	4922	5720	5478	107				0	12			0	396	1421	2333							0														0				0		0	0		2149													940			CONF	CONF					
672247																																																													0	1621	1314		242			18987	1116		0	112332	0	0	0	41042	410		27036	2016	7686	20226	8281	2603	0	10657	6677	25352	26529	84	536				0	0			1596	10403	29082	4957							139														81213				0		0	3		1089													470			CONF	CONF					
672537																																																													0	941	8498	0	825	12099	0	12099	8091		4785	196992	422	0	0	50124	2778	2617	31677	4381	1805	3591	7077	23171	10099	20190	8933	26874	41780	47412	2101	0	0	0	2002	40	0		9153	5181	54304	31280	0	0				80	0													0	7003				800	54	0	54	0	3611	0	0	0	720	0	0	0	0	0	0	0	0	3648	0	0	CONF	CONF				0	
