"IDRSSD"	RCON8725	RCONA126	RCONC391	RCONFT00	RCONFT01	RCONFT02	RCONFT03	RCONFT04	RCONFT05	RCONFT06	RCONFT07	RCONFT08	RCONFT09	RCONFT10	RCONFT11	RCONFT12	RCONFT13	RCONFT14	RCONFT15	RCONFT16	RCONHK18	RCONHK19	RIADC388	RIADC389	RIADC390	RIADF551	RIADF553	
	TOTL INT RATE CONTRCS-MKD TO MARKET	TOTAL INT RATE CONTRACTS TRADING	OTSTDNG CRED CD FEES & FIN CHGS	DOES THE INSTITUTION HAVE ANY DERIVA	TOTAL GROSS NOTIONAL AMOUNT OF ALL O	TOTAL GROSS NOTIONAL AMOUNT OF ALL O	FOR THE TWO CALENDAR QUARTERS PRECED	PRINCIPAL AMOUNT OF 1-4 FAMILY RESID	QUARTER END AMOUNT OF 1-4 FAMILY RES	DOES THE INSTITUTION USE THE FAIR VA	DOES THE INSTITUTION HAVE ANY ASSETS	TOTAL OUTSTANDING PRINCIPAL BALANCE	DOES THE INSTITUTION HAVE ANY ASSETS	TOTAL OUTSTANDING PRINCIPAL BALANCE	DOES THE INSTITUTION SERVICE ANY CLO	TOTAL OUTSTANDING PRINCIPAL BALANCE	DOES THE INSTITUTION HAVE ANY CONSOL	TOTAL ASSETS OF CONSOLIDATED VARIABL	TOTAL LIABILITIES OF CONSOLIDATED VA	DOES THE INSTITUTION, TOGETHER WITH	AGGREGATE AMOUNT OF FAIR VALUE OPTIO	AGGREGATE AMOUNT OF FAIR VALUE OPTIO	UNCOLLBLE CRED CRD FEE&FIN CHGS	SEPARATE VAL ALLOW CRED/FIN CHGS	AMT ALLOW CR LN&LSE LOSS CC/FIN CHGS	NET GAINS(LOSS) ERN RPT AT FV	NET GN LS ERN ON LIABILITY RPT AT FV	
61355	15312	0		true	0	0	true	15180	1401	false	false		false		true	883419	false			false								
61476				false			false			false	false		true	63774	true	108181	false			false								
61757	0	0																										
61832				false			false			false	false		false		false		false			false								
61953				false			false			false	false		false		false		false			false								
62044				false			false			false	false		false		true	486	false			false								
62110				false			false			false	false		false		false		false			false								
62147				false			false			false	false		true	55	true	44311	false			false								
63050				false			false			false	false		false		false		false			false								
63069																										-5069	0	
63201				false			false			false	false		false		false		false			false								
63573				false			false			false	false		false		true	36748	false			false								
63733	0	0						2534	100																			
64150				false			true	5892	1146	false	false		false		false		false			false								
64552	19901	0						17470	8901																			
64730				false			false			false	false		false		false		false			false								
65205	0	0		true	0	14319	false			false	false		true	97	true	97	false			false								
65559	0	0						3440	286																			
65858	75000	0		true	0	0	false			false	false		true	366	true	3	false			false								
66154				false			false			false	false		false		false		false			false								
66275				false			false			false	false		false		true	33	false			false								
67142				false			false			false	false		false		true	6485	false			false								
67151	148422	0		true	0	0	false			false	false		false		false		false			false								
67209	190000	207388		true	0	70937	false			true	false		true	62261	true	182435	false			false	1563	0				-76	0	
67254				false			false			false	false		false		false		false			false								
67656	0	0																										
67870				false			false			false	false		false		true	441	false			false								
68671	35000	0		true	0	0	false			false	false		false		false		false			false								
68756	0	0																										
68831				false			false			false	false		false		false		false			false								
69333	0	0						1647	0																			
69678				false			false			true	false		false		true	80848	false			false	243	0				-19	0	
70218	0	0						0	0																			
70414				false			false			false	false		false		true	118470	false			false								
70638				false			true	15601	2871	false	false		true	1459	false		false			false								
70955				false			false			false	false		false		false		false			false								
71073				false			true	21662	2903	false	false		false		false		false			false								
71457	6196	0		true	0	0	false			false	false		true	79257	true	5213	false			false								
71859				false			false			false	false		false		false		false			false								
72258				false			false			false	false		false		false		false			false								
