"IDRSSD"	RCFA2170	RCFA3128	RCFA3792	RCFA5310	RCFA5311	RCFA7204	RCFA7205	RCFA7206	RCFA8274	RCFAA223	RCFAA224	RCFAB530	RCFAB596	RCFAH015	RCFAH036	RCFAH311	RCFAH313	RCFAH314	RCFAJJ30	RCFAJJ31	RCFAJJ32	RCFAKW00	RCFAKW03	RCFAKX77	RCFAKX78	RCFAKX79	RCFAKX80	RCFAKX81	RCFAKX82	RCFAKX83	RCFALB58	RCFALB59	RCFALB60	RCFALB61	RCFAP742	RCFAP793	RCFAP839	RCFAP840	RCFAP841	RCFAP842	RCFAP843	RCFAP844	RCFAP846	RCFAP847	RCFAP848	RCFAP849	RCFAP850	RCFAP852	RCFAP857	RCFAP858	RCFAP859	RCFAP860	RCFAP861	RCFAP862	RCFAP863	RCFAP864	RCFAP865	RCFAP866	RCFAP867	RCFAP868	RCFAP870	RCFAP872	RCFAP875	RCFAQ258	RCFAS540	RCFW3792	RCFW5310	RCFW5311	RCFW7205	RCFW7206	RCFWA223	RCFWH312	RCFWP793	RCFWP851	RCFWP852	RCFWP853	RCFWP854	RCFWP855	RCFWP856	RCFWP857	RCFWP858	RCFWP859	RCFWP870	RCOA2170	RCOA3128	RCOA3792	RCOA5310	RCOA5311	RCOA7204	RCOA7205	RCOA7206	RCOA8274	RCOAA223	RCOAA224	RCOAB530	RCOAB596	RCOAH015	RCOAH036	RCOAH311	RCOAH313	RCOAH314	RCOAJJ29	RCOAJJ30	RCOAJJ31	RCOAJJ32	RCOAKW00	RCOAKW03	RCOAKX77	RCOAKX78	RCOAKX79	RCOAKX80	RCOAKX81	RCOAKX82	RCOAKX83	RCOALB58	RCOALB59	RCOALB60	RCOALB61	RCOALE74	RCOANC99	RCOAP742	RCOAP793	RCOAP838	RCOAP839	RCOAP840	RCOAP841	RCOAP842	RCOAP843	RCOAP844	RCOAP846	RCOAP847	RCOAP848	RCOAP849	RCOAP850	RCOAP852	RCOAP857	RCOAP858	RCOAP859	RCOAP860	RCOAP861	RCOAP862	RCOAP863	RCOAP864	RCOAP865	RCOAP866	RCOAP867	RCOAP868	RCOAP870	RCOAP872	RCOAP875	RCOAQ258	RCOAS540	RCOWH312	
595337																																																																																				145654	0				16.3104%			25980		159285	-4392	0										23870	159285	0	0.0000%	7207	0	5049	12256	8.4145%	0	0	0	0	1		2110		1	0	21588	0	0	0	-4392	0	0	0		0	25980	0	0	25980	0	0	0	0	0	0						0	0	0		
595430																																																																																						167023	7624	7624	9.0501%	11.3337%	10.8163%	159399	1473688	1761295	-10737	0			3.3337%			2				105038	1817039								0	0	0		0		110274	10.8163%	1	0	204575	55719	25	0	-12871	2297	0	6		0	159399	0	0	159399	0	0	0	0	0	0	0	0	0	7624	0	55744	0			
595869			2432045	155215	155215	10.5297%	13.6144%	12.7455%	2276830	17863725	21622955	-104832	0			5.6144%						1024662	22017224								0	0	0		1646437	12.7455%	0	2566267	375696	3795	14778	-104832	0	0	0		0	2276830	0	0	2276830	0	0	0	0	0	0	0	0	0	155215	0	394269	0																																						0																	0				1																															
595944																																																																																				79022	0				9.7045%			7471		76985	-967	0										5694	77258	0	0.0000%	10482	0	13	10495	13.2811%	0	0	0	0	1		2050		1	0	6777	273	0	0	-967	0	0	0		0	7471	0	0	7471	0	0	0	0	0	0						273	0	0		
596062																																																																																						120401	10445	10445	8.9853%	13.8567%	12.6546%	109956	868901	1223736	-34246	0			5.8567%							72608	1235536								0	0	0		0		49148	12.6546%	1	0	87510	10404	1396	0	-34246	0	0	0		0	109956	0	0	109956	0	0	0	0	0	0	0	0	0	10445	0	11800	0			
596156																																																																																						62472	5306	5306	9.6505%	13.6022%	12.4470%	57166	459277	592365	-4325	0			5.6022%							41166	592365								0	0	0		0		16000	12.4470%	1	0	52841	0	0	0	-4325	0	0	0		0	57166	0	0	57166	0	0	0	0	0	0	0	0	0	5306	0	0	0			
596277																																																																																						2221	129	129	8.2963%	14.0534%	13.2372%	2092	15804	25216	0	0			6.0534%							2192	25316								0	0	0		0		0	13.2372%	1	0	2192	0	0	100	0	0	0	0		0	2092	0	0	2092	0	0	0	0	0	0	0	0	0	129	0	100	0			
596455																																																																																						24156	1538	1538	8.1673%	12.8932%	12.0723%	22618	187354	276935	-2464	0			4.8932%							7118	276935								0	0	0		0		15500	12.0723%	1	0	20154	0	0	0	-224	0	0	-2240		0	22618	0	0	22618	0	0	0	0	0	0	0	0	0	1538	0	0	0			
596978																																																																																				236600	0				11.7411%			28081		239169	-712	0										24309	239169	0	0.0000%	11933	0	0	11933	5.0435%	0	0	0	0	1		3772		1	0	27369	0	0	0	-664	0	0	-48		0	28081	0	0	28081	0	0	0	0	0	0						0	0	0		
597041																																																																																						10681	404	404	9.5192%	20.4257%	19.6531%	10277	52292	107961	-7836	0			12.4257%							714	110933								0	0	0		0		12535	19.6531%	1	0	5413	2972	0	0	-7836	0	0	0		0	10277	0	0	10277	0	0	0	0	0	0	0	0	0	404	0	2972	0			
597313																																																																																				546074	0				9.8615%			52039		527698	-11666	0										44635	527698	0	0.0000%	43173	0	6450	49623	9.0872%	0	0	0	0	1		7404		1	0	40373	0	0	0	-11666	0	0	0		0	52039	0	0	52039	0	0	0	0	0	0						0	0	0		
597452																																																																																				251511	0				10.1115%			24819		245454	0	0										12135	245454	0	0.0000%	36666	0	250	36916	14.6777%	0	0	0	0	1		12684		1	0	24819	0	0	0	0	0	0	0		0	24819	0	0	24819	0	0	0	0	0	0						0	0	0		
597546																																																																																						46177	3886	3886	9.7245%	13.4987%	12.3627%	42291	342085	434891	-13462	0			5.4987%							29966	435301								0	0	0		0		12735	12.3627%	1	0	29239	410	0	0	-13462	0	0	0		0	42291	0	0	42291	0	0	0	0	0	0	0	0	0	3886	0	410	0			
597658																																																																																				146251	0				11.1846%			16246		145253	-6934	0										6246	145253	0	0.0000%	9087	0	12	9099	6.2215%	0	0	0	0	1		10000		1	0	9312	0	0	0	-6934	0	0	0		0	16246	0	0	16246	0	0	0	0	0	0						0	0	0		
598002																																																																																						62053	5518	5518	7.9025%	12.9664%	11.8133%	56535	478569	715410	-14331	0			4.9664%							42540	715410								0	0	0		0		13995	11.8133%	1	0	42204	0	0	0	-14331	0	0	0		0	56535	0	0	56535	0	0	0	0	0	0	0	0	0	5518	0	0	0			
598048																																																																																				656128	0				9.2021%			61774		671304	-22178	0										45381	672976	0	0.0000%	85746	23559	2035	111340	16.9692%	0	0	0	0	1		18065		1	0	41268	1445	227	0	-18013	0	0	-4165		0	61774	0	0	61774	0	0	0	0	0	0						1672	0	8774		
598132																																																																																						8636	490	490	13.5268%	22.0887%	20.8354%	8146	39097	60221	-1230	0			14.0887%							4146	60221								0	0	0		0		4000	20.8354%	1	0	6916	0	0	0	-1230	0	0	0		0	8146	0	0	8146	0	0	0	0	0	0	0	0	0	490	0	0	0			
598543																																																																																						11495	747	747	10.9549%	16.6226%	15.5423%	10748	69153	98111	-2117	0			8.6226%							5953	98111								0	0	0		0		4795	15.5423%	1	0	8631	0	0	0	-2117	0	0	0		0	10748	0	0	10748	0	0	0	0	0	0	0	0	0	747	0	0	0			
599643																																																																																				148421	0				9.0111%			12988		144134	-2329	0										6888	144134	0	0.0000%	11604	0	50	11654	7.8520%	0	0	0	0	1		6100		1	0	10659	0	0	0	-2329	0	0	0		0	12988	0	0	12988	0	0	0	0	0	0						0	0	0		
599764																																																																																						490609	33070	33070	8.1337%	13.3414%	12.4421%	457539	3677337	5625196	-318925	0			5.3414%							343719	5649819								0	0	0		0		138443	12.4421%	1	0	163237	23366	1257	0	-318925	0	0	0		0	457539	0	0	457539	0	0	0	0	0	0	0	0	0	33070	0	24623	0			
600419																																																																																						120907	10528	10528	8.3876%	10.7137%	9.7808%	110379	1128524	1315974	-16141	0			2.7137%							99934	1319081								0	0	0		0		13552	9.7808%	1	0	97345	3107	0	0	-19810	3669	0	0		0	110379	0	0	110379	0	0	0	0	0	0	0	0	0	10528	0	3107	0			
601032																																																																																				36807	0				12.8165%			4774		37249	-495	0										4076	37249	0	0.0000%	1819	0	0	1819	4.9420%	0	0	0	0	1		500		1	0	4081	0	0	0	-693	0	0	0		0	4774	0	0	4774	0	0	0	0	0	0						0	0	0		
601041																																																																																						13963	816	816	12.2883%	21.5040%	20.2473%	13147	64932	106988	-10	0			13.5040%							11547	106988								0	0	0		0		1600	20.2473%	1	0	13137	0	0	0	-10	0	0	0		0	13147	0	0	13147	0	0	0	0	0	0	0	0	0	816	0	0	0			
601050																																																																																						3125987	183696	183696	8.8609%	13.0485%	12.2817%	2942291	23956611	33205509	-1069252	0			5.0485%			2				1914765	33340887								0	0	0		0		1162904	12.2817%	1	0	2008417	131249	4129	0	-1124489	55237	0	0		0	2942291	0	0	2942291	0	0	0	0	0	0	0	0	0	183696	0	135378	0			
