"IDRSSD"	RCONFT04	RCONFT05	RCONHT81	RCONHT82	RCONHT86	RCONL191	RCONL192	RCONM288	RIADHT85	
	PRINCIPAL AMOUNT OF 1-4 FAMILY RESID	QUARTER END AMOUNT OF 1-4 FAMILY RES	Retail originations during the quart	Wholesale originations and purchases	Repurchases and indemnification of 1	REP AND WARRNTY TO US GOVT AGCY	REP AND WARRNTY TO OTHR PARTIES	REP WARRNTY TO US GOVT AGCY TOTAL	Noninterest income for the quarter f	
145741						CONF	CONF			
145844						CONF	CONF			
146056						CONF	CONF			
146663						CONF	CONF			
147651						CONF	CONF			
147679						CONF	CONF			
147857	0	0	0	0	0	CONF	CONF	0	0	
147923						CONF	CONF			
148171	1750	414				CONF	CONF			
148238						CONF	CONF			
148340						CONF	CONF			
148470						CONF	CONF			
148715						CONF	CONF			
148920						CONF	CONF			
149150						CONF	CONF			
150035	1665	0	0	1665	0	CONF	CONF	0	40	
150044	4725	415				CONF	CONF			
150727						CONF	CONF			
151546						CONF	CONF			
151957	6519	540				CONF	CONF			
152057						CONF	CONF			
152253						CONF	CONF			
152431						CONF	CONF			
152440						CONF	CONF			
153054						CONF	CONF			
153353						CONF	CONF			
154154						CONF	CONF			
154770						CONF	CONF			
155759						CONF	CONF			
156457						CONF	CONF			
156635						CONF	CONF			
156970						CONF	CONF			
157155						CONF	CONF			
157379						CONF	CONF			
157650	0	0	0	0	0	CONF	CONF	0	0	
157744						CONF	CONF			
157856						CONF	CONF			
158376						CONF	CONF			
158741						CONF	CONF			
159636	19873	4184	19997	0	0	CONF	CONF	0	645	
159645						CONF	CONF			
159953						CONF	CONF			
159971						CONF	CONF			
160360						CONF	CONF			
160454						CONF	CONF			
160959	0	0	0	0	0	CONF	CONF	0	0	
161273						CONF	CONF			
161602	9563	1296				CONF	CONF			
162337						CONF	CONF			
163343						CONF	CONF			
163549	5283	3674	8957	0	0	CONF	CONF	0	320	
163857	20374	3852				CONF	CONF			
164153						CONF	CONF			
164331						CONF	CONF			
164377						CONF	CONF			
164957						CONF	CONF			
164975						CONF	CONF			
165628	40129	9280	42174	0	0	CONF	CONF	0	3145	
165758						CONF	CONF			
166111						CONF	CONF			
166531						CONF	CONF			
166652	0	0	0	0	0	CONF	CONF	0	0	
166849						CONF	CONF			
167453						CONF	CONF			
167752						CONF	CONF			
168357						CONF	CONF			
168571						CONF	CONF			
169327						CONF	CONF			
169354						CONF	CONF			
169653	47499	10933	47974	0	104	CONF	CONF	510	3511	
169756						CONF	CONF			
170257						CONF	CONF			
170275						CONF	CONF			
170332	0	0	0	0	0	CONF	CONF	0	0	
171133						CONF	CONF			
171656						CONF	CONF			
171759						CONF	CONF			
171768						CONF	CONF			
172251						CONF	CONF			
172457						CONF	CONF			
172475						CONF	CONF			
172859						CONF	CONF			
173306						CONF	CONF			
173342						CONF	CONF			
173557						CONF	CONF			
173575	0	0	0	0	0	CONF	CONF	0	0	
173641						CONF	CONF			
173959						CONF	CONF			
174321						CONF	CONF			
174367	0	0	0	0	0	CONF	CONF	0	0	
174572	9357	0	9225	0	0	CONF	CONF	0	115	
175056	0	0	0	0	0	CONF	CONF	0	0	
175140	0	0	0	0	0	CONF	CONF	0	0	
175458						CONF	CONF			
175609						CONF	CONF			
176101	0	0	0	0	0	CONF	CONF	0	0	
176325	0	0	0	0	0	CONF	CONF	0	0	
176437						CONF	CONF			
176464	4012	0				CONF	CONF			
176642						CONF	CONF			
177135						CONF	CONF			
177443						CONF	CONF			
177500						CONF	CONF			
177555						CONF	CONF			
177751						CONF	CONF			
177920	1582	0	1582	0	105	CONF	CONF	0	60	
178150						CONF	CONF			
178244						CONF	CONF			
178356						CONF	CONF			
178851						CONF	CONF			
179148						CONF	CONF			
179335						CONF	CONF			
179700						CONF	CONF			
180144						CONF	CONF			
180537						CONF	CONF			
180845						CONF	CONF			
181963						CONF	CONF			
182951						CONF	CONF			
183668						CONF	CONF			
183770						CONF	CONF			
183958						CONF	CONF			
184656	0	0	0	0	0	CONF	CONF	0	0	
184759						CONF	CONF			
185251						CONF	CONF			
185448	0	0	0	0	0	CONF	CONF	0	0	
185859	2726	752				CONF	CONF			
186221	3008	325	3405	0	0	CONF	CONF	91	95	
186548						CONF	CONF			
186717						CONF	CONF			
186744						CONF	CONF			
187648						CONF	CONF			
187947	7779	622	943	6484	0	CONF	CONF	0	99	
188056						CONF	CONF			
188177						CONF	CONF			
188430	87693	29974	8820	88202	1213	CONF	CONF	285	836	
188449						CONF	CONF			
188720						CONF	CONF			
188739						CONF	CONF			
188917						CONF	CONF			
189129						CONF	CONF			
189745	43020	0	38057	0	0	CONF	CONF	150	333	
189950						CONF	CONF			
190563						CONF	CONF			
190648						CONF	CONF			
190947						CONF	CONF			
190956						CONF	CONF			
191355	0	0	0	0	0	CONF	CONF	0	0	
191935						CONF	CONF			
192147	0	0	0	0	0	CONF	CONF	0	0	
192558						CONF	CONF			
192651						CONF	CONF			
192857						CONF	CONF			
193162						CONF	CONF			
193247	11223	1749				CONF	CONF			
193537						CONF	CONF			
193649	0	0	0	0	0	CONF	CONF	0	0	
193809	459	687	1146	0	0	CONF	CONF	0	319	
194440						CONF	CONF			
194570						CONF	CONF			
194936						CONF	CONF			
195111	1070	688				CONF	CONF			
