"IDRSSD"	RCFDJJ04	RCFDJJ05	RCFDJJ06	RCFDJJ07	RCFDJJ08	RCFDJJ09	RCFDJJ11	RCFDJJ12	RCFDJJ13	RCFDJJ14	RCFDJJ15	RCFDJJ16	RCFDJJ17	RCFDJJ18	RCFDJJ19	RCFDJJ20	RCFDJJ21	RCFDJJ23	RCFDJJ24	RCFDJJ25	RCONJJ04	RCONJJ05	RCONJJ06	RCONJJ07	RCONJJ08	RCONJJ09	RCONJJ11	RCONJJ12	RCONJJ13	RCONJJ14	RCONJJ15	RCONJJ16	RCONJJ17	RCONJJ18	RCONJJ19	RCONJJ20	RCONJJ21	RCONJJ23	RCONJJ24	RCONJJ25	
	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Held to Maturity Securities, Securit	Held to Maturity Securities, Mortgag	Held to Maturity Securities, Asset b	Held to Maturity Securities, Other d	Held to Maturity Securities, Total	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Held to Maturity Securities, Securit	Held to Maturity Securities, Mortgag	Held to Maturity Securities, Asset b	Held to Maturity Securities, Other d	Held to Maturity Securities, Total	
128904																					355323	6078724	3701053	3354130	0	172464	13661694	7578	65141	33311	32067	0	2841	0	140938	0	0	0	0	0	
129349																																									
129358																																									
129479																																									
129732																					447108	1929384	499336	2637682	0	1822	5515332	3498	24738	2679	59525	0	25	0	90465	0	0	0	0	0	
129853																																									
129910																																									
130345																																									
130541																					223103	1577882	1152965	731501	0	561500	4246951	2189	15810	12393	7505	0	11629	0	49526	0	0	0	0	0	
131436																																									
131717																																									
131940																																									
132107																																									
132451																																									
132778																																									
132938																																									
133579																																									
133850																																									
133971																																									
134156																																									
134437																																									
134455																																									
134848																																									
135836																																									
135854																																									
136048																																									
136338																																									
136459																																									
136655																																									
137205																																									
137447																																									
137456																																									
137559																																									
137643																																									
137652																																									
137915																					280668	1267061	538232	2384378	0	34728	4505067	2761	26689	4976	31541	0	0	11669	77636	0	0	0	0	0	
138051																																									
138257																																									
138556																																									
139133																																									
139478																																									
139553																																									
139656																					386395	1373945	766508	723214	5805	74752	3330619	1735	14176	11163	15961	127	1941	0	45103	0	0	0	0	0	
139740																					336739	1806340	84995	520718	0	7393	2756185	3166	18645	554	5497	0	79	0	27941	0	0	0	0	0	
139843																					192106	882239	169246	836675	0	17828	2098094	3637	12327	2086	16326	0	250	0	34626	0	0	0	0	0	
140157																																									
140362																					172074	1252321	93813	221088	0	89109	1828405	2255	19724	1290	6823	0	3133	0	33225	0	0	0	0	0	
140634																																									
141211																																									
141350																																									
141556																					540965	300491	21069	1130653	0	1768	1994946	13146	5542	282	45546	0	24	0	64540	0	0	0	0	0	
141677																																									
141958																																									
142049																																									
142179																																									
142955																																									
143372																																									
143662																					1908228	17100985	7763954	9837802	0	186298	36797267	14972	96119	60613	239146	0	6614	0	417464	0	0	0	0	0	
143859																																									
143952																																									
144034																																									
144052																																									
144155																																									
144678																																									
144856																																									
144913																																									
145059																																									
145545																																									
145554																																									
145741																																									
145844																																									
146056																																									
146663																																									
147651																																									
147679																																									
147857																																									
147923																																									
148171																																									
148238																																									
148340																																									
148470																																									
148715																																									
148920																																									
149150																																									
150035																					106167	398917	325946	130055	0	11008	972093	924	4029	1646	1321	0	577	0	8497	9	0	0	0	9	
150044																																									
150727																																									
151546																																									
151957																																									
152057																																									
152253																																									
152431																																									
152440																																									
153054																																									
153353																																									
154154																																									
154770																																									
155759																																									
156457																																									
156635																																									
156970																																									
157155																																									
157379																																									
157650																																									
157744																																									
157856																																									
158376																																									
158741																																									
159636																					903247	1047646	1100351	173428	4061	39851	3268584	13384	15626	9654	1967	97	718	0	41446	0	0	0	0	0	
159645																																									
159953																																									
159971																																									
160360																																									
160454																																									
160959																					129418	663555	628174	519848	3587	4969	1949551	1701	11227	11136	10047	0	71	9	34191	0	0	0	0	0	
161273																																									
161602																																									
