"IDRSSD"	RCFD2143	RCFD2150	RCFD2651	RCFD3163	RCFD3164	RCFD3190	RCFD4088	RCFD6164	RCFD6165	RCFDA590	RCFDB569	RCFDB570	RCFDB571	RCFDF055	RCFDF056	RCFDF057	RCFDF058	RCFDF059	RCFDF060	RCFDF061	RCFDF062	RCFDF063	RCFDF065	RCFDJA29	RCFDJF76	RCFDK192	RCFDK193	RCFDK194	RCFN5513	RCON2143	RCON2150	RCON2651	RCON3163	RCON3164	RCON3190	RCON4088	RCON5508	RCON5509	RCON5510	RCON5511	RCON5512	RCON6164	RCON6165	RCONA590	RCONB569	RCONB570	RCONB571	RCONF055	RCONF056	RCONF057	RCONF058	RCONF059	RCONF060	RCONF061	RCONF062	RCONF063	RCONF064	RCONF065	RCONG463	RCONG464	RCONJA29	RCONJF76	RCONK192	RCONK193	RCONK194	RCONL133	RCONL135	RCONLG26	RCONLG27	RCONLG28	RCONLL57	RCONLL59	RCONLL60	RCONMM07	RCONMQ52	RCONN523	RCONN524	TE01N528	TE01N529	TE02N528	TE02N529	TE03N528	TE03N529	TE04N528	TE04N529	TE05N528	TE05N529	TE06N528	TE06N529	TE07N528	TE08N528	TE09N528	TE10N528	TEXT4087	
843476																														0	189	0	0	0	0	true	0	0	0	0	189	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false		0		0	0			0	0	0	0	0	0			0																		www.cornerstonebankia.com	
843542																														0	95	0	0	0	3500	true	0	0	0	0	95	747	0	0	false	0	3500	0	0	0	0	0	3500	0	0	0	0	0	true	false		0		0	0			0	0	0	0	0	0			0																		www.firststatewarren.com	
843953																														0	0	13903	0	0	13903	true	0	0	0	0	0	7158	3	0	false	0	0	13903	0	0	0	0	0	0	0	0	0	0	true	false	0	0		0	0			0	0	0	0	0	0			0																		www.integrityks.bank	
844053																														842	0	0	558	0	0	true	0	0	0	0	0	878	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false		284	0	0	0			1	52	0	0	0	0			102		www.snbomaha.com																www.snbconnect.com	
844138																														0	164	15500	0	0	17500	true	0	0	164	0	0	1087	0	0	false	0	0	15500	2000	0	0	17500	0	0	0	0	0	0	true	false	0	0		0	0			0	0	0	0	0	0			0		www.simmesportstatebank.net																www.simmesportstatebank.net	
844455																														0	0	0	0	0	0	true	0	0	0	0	0	87	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false	0	0		0	0			2	16	0	0	0	0			8																		http://www.fnbfredonia.com	
844567																														0	0	0	0	0	0	true	0	0	0	0	0	879	1	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false		0		0	0			1	8	0	0	0	0	0	0	990	15111																	https://www.pointbank.com	
845247																														19468	0	1	10435	2510	8105	true	0	0	0	0	0	1868	1	2510	false	0	0	1	190	345	7569	0	0	0	0	0	0	0	false	false	0	6523		0	0			0	0	0	0	0	0			49																		www.edmontonstatebank.com	
845573																														34109	0	476000	33375	0	476000	true	0	0	0	0	0	876	1	0	false	0	0	476000	0	0	0	0	0	0	0	0	0	0	true	false	0	734	0	0	0	1	true	3	106	0	0	0	0	0	0	2197	102680																	www.spencersavings.com	
846132																														858	0	1000	858	0	1000	true	0	0	0	0	0	0	0	0	false	0	0	1000	0	0	0	0	0	0	0	0	0	0	true	false		0		0	0			1	349	0	0	0	0			0																		www.deweybank.com	
