"IDRSSD"	RCONG353	RCONG354	RCONG355	RCONG356	RCONG357	RCONG358	RCONG359	RCONG360	RCONG361	RCONG362	RCONG363	RCONG364	RCONG365	RCONG366	RCONG367	RCONG368	RCONG369	RCONG370	RCONG371	RCONG372	RCONG373	RCONG374	RCONG375	RCONHT50	RCONHT51	RCONHT52	RCONHT53	RCONHT54	RCONHT55	RCONHT56	RCONHT57	RCONHT58	RCONHT59	RCONHT60	RCONHT61	RCONK142	RCONK143	RCONK144	RCONK145	RCONK146	RCONK147	RCONK148	RCONK149	RCONK150	RCONK151	RCONK152	RCONK153	RCONK154	RCONK155	RCONK156	RCONK157	RCONMG95	
	SFP TPS ISS RE INV TRS HTM FV	SFP TPS ISS RE INV TR AFS AMRTZ COST	SFP TPS ISS RE INV TR AFS FV	SFP CORP & SIMILAR LN HTM AMRTZ COST	SFP CORP & SIMILAR LN HTM FV	SFP CORP & SIMILAR LN AFS AMRTZ COST	SFP CORP & SIMILAR LN AFS FV	SFP 1T4 RES MBS I OR G GSE HTM AMRTZ	SFP 1T4 RES MBS I OR G GSE HTM FV	SFP 1T4 RES MBS I OR G GSE AFS AMRTZ	SFP 1T4 RES MBS I OR G GSE AFS FV	SFP 1T4 MBS N I OR G GSE HTM AMRTZ	SFP 1T4 RES MBS N I OR G GSE HTM FV	SFP 1T4 MBS N I OR G GSE AFS AMRTZ	SFP 1T4 RES MBS N I OR G GSE AFS FV	SFP DVRS (MIXED) POOLS SFP HTM AMRTZ	SFP DVRS (MIXED) POOLS SFP HTM FV	SFP DVRS (MIXED) POOLS SFP AFS AMRTZ	SFP DVRS (MIXED) POOLS SFP AFS FV	SFP OTHR CLTRL REF ASSET HTM AMRTZ	SFP OTHR CLTRL REF ASSET HTM FV	SFP OTHR CLTRL REF ASSET AFS AMRTZ	SFP OTHR CLTRL REF ASSET AFS FV	US government agency obligations (ex	US government agency obligations (ex	US government agency obligations (ex	US government agency obligations (ex	Mortgage backed securities (MBS), Is	Mortgage backed securities (MBS), Is	Mortgage backed securities (MBS), Is	Mortgage backed securities (MBS), Is	Asset-backed securities and structur	Asset-backed securities and structur	Asset-backed securities and structur	Asset-backed securities and structur	MBS CMRL PT SCTY GUAR FNMA HTM AMTRZ	MBS CMRL PT SCTY GUAR FNMA HTM FV	MBS CMRL PT SCTY GUAR FNMA AFS AMTRZ	MBS CMRL PT SCTY GUAR FNMA AFS FV	MBS CMRL PT SCTY OTHR HTM AMTRZ	MBS CMRL PT SCTY OTHR HTM FV	MBS CMRL PT SCTY OTHR AFS AMTRZ	MBS CMRL PT SCTY OTHR AFS FV	MBS CMRL OTHR CMRL GUAR FNMA HTM AMT	MBS CMRL OTHR CMRL GUAR FNMA HTM FV	MBS CMRL OTHR CMRL GUAR FNMA AFS AMT	MBS CMRL OTHR CMRL GUAR FNMA AFS FV	MBS CMRL OTHR CMRL OTHR CMRL HTM AMT	MBS CMRL OTHR CMRL OTHR CMRL HTM FV	MBS CMRL OTHR CMRL OTHR CMRL AFS AMT	MBS CMRL OTHR CMRL OTHR CMRL AFS FV	Amortized cost of available-for-sale	
309851																								149	136	2319	2061	622	590	15530	13543	0	0	0	0	0	0	1519	1442	0	0	0	0	0	0	0	0	0	0	0	0		
310754																								0	0	1800	1746	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
310950																								0	0	557	533	0	0	216	199	0	0	502	500	0	0	3340	3094	0	0	0	0	0	0	6146	5472	0	0	4087	4038		
310978																								0	0	2500	2348					0	0	0	0	0	0	1059	998	0	0	0	0	0	0	3204	2993	0	0	0	0		
311050																								0	0	4725	4803	166804	144613	53009	47523	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1403	1338	0	0	0	0		
311144																								3149	3090	0	0	0	0	4399	3974	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
311256																								0	0	0	0	2839	2707	2712	2814	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
311265																								0	0	10049	9713	0	0	29852	26637	0	0	1002	985	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
311603																								0	0	28604	26642	0	0	149112	129646	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
311658																								0	0	9480	8894	0	0	7989	7132	0	0	0	0	0	0	410	404	0	0	0	0	0	0	0	0	0	0	0	0		
311845	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1353240	1318369					0	0	0	0	0	0	0	0	0	0	0	0	0	0	2353579	1872505	0	0	0	0	-1763	
311939																								0	0	15087	13730	0	0	6958	6998	0	0	0	0	0	0	4707	4727	0	0	0	0	0	0	3323	2970	0	0	0	0		
312244																								0	0	0	0	0	0	35910	30147	0	0	0	0	0	0	5596	4964	0	0	0	0	0	0	46167	39119	0	0	0	0		
312356																								0	0	1437	1395	0	0	3923	3584	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
313009																								0	0	5399	4759	0	0	921	844	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5119	3865	0	0	0	0		
313157																								0	0	638	636	0	0	17044	16006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2137	1935		
313223																								0	0	0	0	7766	7367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
313577																								0	0	48455	41060	0	0	68198	58683	0	0	0	0	0	0	18500	16274	0	0	0	0	0	0	15822	14938	0	0	0	0		
314257																								0	0	158493	151864	0	0	19933	18222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
314444																								0	0	0	0	8187	7251	5524	4710	0	0	1590	1577	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
315656																								0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
316840																								65000	64837	240000	229249					0	0	0	0	0	0	0	0	0	0	0	0	0	0	831	831	0	0	0	0		
316859																								0	0	13301	11355	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
