"IDRSSD"	RCFD1410	RCFD1420	RCFD1460	RCFD1563	RCFD1590	RCFD1763	RCFD1764	RCFD1797	RCFD2081	RCFD2107	RCFD2122	RCFD2123	RCFD2746	RCFD5367	RCFD5368	RCFDA247	RCFDA570	RCFDA571	RCFDA572	RCFDA573	RCFDA574	RCFDA575	RCFDB532	RCFDB533	RCFDB534	RCFDB536	RCFDB537	RCFDB538	RCFDB539	RCFDB837	RCFDC391	RCFDC779	RCFDC780	RCFDF158	RCFDF159	RCFDF160	RCFDF161	RCFDF162	RCFDF163	RCFDG091	RCFDG092	RCFDG093	RCFDG094	RCFDG095	RCFDG096	RCFDG097	RCFDG098	RCFDG099	RCFDG100	RCFDG101	RCFDG102	RCFDG378	RCFDHK25	RCFDK098	RCFDK137	RCFDK163	RCFDK164	RCFDK165	RCFDK168	RCFDK203	RCFDK204	RCFDK207	RCON1288	RCON1420	RCON1460	RCON1545	RCON1590	RCON1763	RCON1764	RCON1766	RCON1797	RCON2081	RCON2107	RCON2122	RCON2123	RCON2165	RCON2746	RCON5367	RCON5368	RCON5370	RCONA247	RCONA564	RCONA565	RCONA566	RCONA567	RCONA568	RCONA569	RCONA570	RCONA571	RCONA572	RCONA573	RCONA574	RCONA575	RCONB531	RCONB534	RCONB535	RCONB538	RCONB539	RCONB837	RCONC391	RCONC779	RCONC780	RCONF158	RCONF159	RCONF160	RCONF161	RCONF162	RCONF163	RCONF230	RCONF231	RCONF232	RCONF576	RCONF577	RCONG091	RCONG092	RCONG093	RCONG094	RCONG095	RCONG096	RCONG097	RCONG098	RCONG099	RCONG100	RCONG101	RCONG102	RCONG376	RCONG378	RCONGW45	RCONGW46	RCONGW47	RCONHK25	RCONJ451	RCONJ454	RCONJ464	RCONJ466	RCONJ467	RCONJ468	RCONJ469	RCONJ470	RCONJ471	RCONK098	RCONK137	RCONK158	RCONK159	RCONK160	RCONK161	RCONK162	RCONK163	RCONK164	RCONK165	RCONK166	RCONK168	RCONK203	RCONK204	RCONK207	RCONK256	RCONLE75	RCONLG24	RCONLG25	RIADG377	
90579																																																																1907	29241		0			5360	4107		0	352123	0	0	0	231213	871	0	20441	85	645	1303	5537	45668	177975	10270	9468	40744	27351	32419	658				0	0			0	0	2806	6730	13291	55975			0			978	0													0	256102	0	0	0	978		0	27							0	575	0	0	0	0	0			0	0	0	0	0	20	0	201	CONF	CONF	0	
91615																																																																26342	0		4344			7857	1290		324	109430	0	0	0	40325	1408	32634	12967	429	2434	6906	19055	7512	3989	12753	4839	14373	22271	12054	2164				0	0					3287	218	3886	14910			0			0	0													0	32634	0	0	0	0		0	15							0	3066	0	0	0	0	0			0	0		0	0	2158	0	0	CONF	CONF	0	
91754																																																															0	8358	1508	0	3799	22024	0	22024	0		1535	244185	0	0	0	90852	4323	0	57836	1984	4330	9766	16843	31948	25981	32124	21003	18034	36172	44994	971	0	0	0	0	217	0				14478	26432	32167	25229	0	0	0			0	0	0	0	0	0	0	0	0	0	0	0	0	0		111014				0	296	0	296							0	2901	0	0	0	0	0	0	0	0	0	0	0	0	10066	0	0	CONF	CONF		
91950																																																																11066	0		4574			1296	138		0	39729	0	0	0	17059	293	0	10815	629	377	3514	2502	9741	296	15395	1052	588	3199	2436	0				0	0					34	482	2862	0			0			0	0														426	0	0	0	0		0	10							0	1595	0	0	0	0	0			0	0	0	0	0	320	0	0	CONF	CONF		
92144																																																																1828	0		6552			2644	0		0	13258	0	0	0	281	0	0	8162	0	5	214	61	0	0	7487	675	726	1739	1140	1210				0	0					0	0	0	722			0			0	0														0	0	0	0	0		0	0							0	358	0	0	0	0	0			0	0	0	0	0	873	0	0	CONF	CONF		
92676																																																																422	7146	0	0	63461	0	63461	13085		0	549314	0	0	0	152789	9149	25442	7541	3512	5887	3493	8091	52664	78385	38426	9585	75913	84283	158874	24493	0	0	0	0	0	0				11515	26106	67764	106240	0	0	0			0	0	0	0	0	0	0	0	0	0	0	0	0	0		91109				0	91282	0	91282							0	0	0	0	0	0	0	0	0	0	0	0	0	0	355	0	0	CONF	CONF		
92706																																																																0	6525		0			15285	4814		6435	257735	279	66	0	175464	3570	70206	3197	4348	17956	10906	9838	39187	92372	7056	5038	6266	12962	14484	36745				0	165					6723	293	16251	14887			0			527	0														108287	0	0	0	527		0	0							0	125	0	0	0	0	0			0	0	0	0	0	7411	0	0	CONF	CONF		
92902																																																																279	0		0			2417	0		0	13420	0	0	0	3138	0	0	3786	275	3	4	27	862	1934	3479	29	256	632	1225	4524				0	0					0	326	4505	482			0			0	0														0	0	0	0	0		0	4							0	802	0	0	0	0	0			0	0		0	0	1467	0	0	CONF	CONF		
93244																																																																45535	8642		12579			44740	16844		3766	288061	0	4743	0	56729	325	302	53721	1151	1938	7239	31604	14579	0	15615	35017	59893	90780	29271	591				0	18					6941	5381	51878	26321			0			0	0													0	186708	0	0	0	77		0	76							0	2116	0	0	0	0	0			15	0	0	0	15	1427	62	0	CONF	CONF	0	
93543																																																																76615	11518		42365			45072	19259		7157	470422	0	0	0	111693	3153	44820	66272	1052	4927	10316	21445	17086	56455	41388	68935	61551	124486	47698	11937				1046	60					7025	25525	65043	40049			0			61	389														141321	0	0	0	61		0	1747							0	10652	0	0	0	0	0			0	0	0	0	0	2443	0	145	CONF	CONF		
